timestamp,cell_id,latitude,longitude,latency_ms,download_speed_mbps,upload_speed_mbps,call_drop_rate_percent,signal_strength_dbm,is_anomaly,problem_type
2024-01-01 00:00:00,CELL_005,49.454788,2.869207,45.25,56.54,16.05,0.0,-79.07,0,Normal
2024-01-01 00:01:00,CELL_029,43.933123,5.47143,29.14,73.87,15.61,0.8,-80.76,0,Normal
2024-01-01 00:02:00,CELL_036,43.934684,5.237427,41.99,64.03,19.99,0.74,-71.17,0,Normal
2024-01-01 00:03:00,CELL_041,43.946821,5.369898,13.11,49.49,20.58,0.79,-69.46,0,Normal
2024-01-01 00:04:00,CELL_026,43.296391,5.318702,61.19,55.17,14.71,0.0,-81.56,0,Normal
2024-01-01 00:05:00,CELL_044,43.287577,5.3888,46.03,35.29,8.78,0.6,-85.41,0,Normal
2024-01-01 00:06:00,CELL_046,43.267988,5.724257,45.51,44.28,9.6,3.32,-78.21,0,Normal
2024-01-01 00:07:00,CELL_035,43.598673,5.600692,83.11,45.43,21.89,0.26,-54.02,0,Normal
2024-01-01 00:08:00,CELL_042,43.572707,5.314755,56.79,34.55,16.13,3.92,-60.08,0,Normal
2024-01-01 00:09:00,CELL_039,43.78755,5.746812,57.92,47.21,24.6,0.0,-68.84,0,Normal
2024-01-01 00:10:00,CELL_027,43.074922,5.2171,11.64,51.58,19.46,1.24,-58.18,0,Normal
2024-01-01 00:11:00,CELL_034,43.463335,5.722562,51.81,46.92,12.75,2.29,-58.07,0,Normal
2024-01-01 00:12:00,CELL_035,43.588339,5.594764,11.5,60.56,7.53,2.08,-64.0,0,Normal
2024-01-01 00:13:00,CELL_020,48.808929,2.512442,65.64,43.14,15.03,0.44,-89.4,0,Normal
2024-01-01 00:14:00,CELL_006,48.948446,2.699743,45.93,53.99,18.88,0.53,-75.7,0,Normal
2024-01-01 00:15:00,CELL_048,43.887137,5.717353,22.79,69.31,18.79,2.22,-65.4,0,Normal
2024-01-01 00:16:00,CELL_049,43.132339,5.395874,42.1,69.24,12.51,0.0,-72.02,0,Normal
2024-01-01 00:17:00,CELL_038,43.443304,5.504902,52.58,39.56,11.67,1.72,-65.82,0,Normal
2024-01-01 00:18:00,CELL_045,43.195237,5.757142,34.43,53.86,23.38,0.0,-57.51,0,Normal
2024-01-01 00:19:00,CELL_032,43.150888,5.312063,50.62,41.79,16.96,2.58,-39.89,0,Normal
2024-01-01 00:20:00,CELL_023,49.465618,2.379737,34.7,23.7,17.3,1.9,-41.27,0,Normal
2024-01-01 00:21:00,CELL_009,49.449574,2.771703,36.64,65.25,20.04,1.26,-73.86,0,Normal
2024-01-01 00:22:00,CELL_010,49.486851,2.540609,46.33,60.48,14.86,2.7,-67.94,0,Normal
2024-01-01 00:23:00,CELL_017,49.398343,2.577553,39.73,43.92,12.66,1.42,-74.23,0,Normal
2024-01-01 00:24:00,CELL_042,43.559234,5.318112,73.14,64.06,12.37,2.41,-68.47,0,Normal
2024-01-01 00:25:00,CELL_028,43.018688,5.392059,25.83,28.31,18.45,1.15,-85.75,0,Normal
2024-01-01 00:26:00,CELL_033,43.115804,5.435551,37.63,32.08,13.07,1.53,-77.22,0,Normal
2024-01-01 00:27:00,CELL_007,48.770029,2.403027,42.98,15.29,20.65,3.33,-67.16,0,Normal
2024-01-01 00:28:00,CELL_035,43.592864,5.599807,19.49,67.62,11.33,0.43,-60.3,0,Normal
2024-01-01 00:29:00,CELL_034,43.454389,5.711865,18.74,53.74,19.98,1.66,-71.81,0,Normal
2024-01-01 00:30:00,CELL_032,43.157081,5.313677,37.34,30.69,12.85,2.3,-76.48,0,Normal
2024-01-01 00:31:00,CELL_034,43.45554,5.728922,64.16,10.83,16.44,0.0,-54.63,0,Normal
2024-01-01 00:32:00,CELL_016,49.413065,2.313212,55.44,60.03,17.98,3.65,-76.92,0,Normal
2024-01-01 00:33:00,CELL_026,43.296272,5.323995,56.34,53.39,14.83,0.3,-68.26,0,Normal
2024-01-01 00:34:00,CELL_035,43.595427,5.601346,48.49,36.59,16.02,0.0,-88.45,0,Normal
2024-01-01 00:35:00,CELL_038,43.434495,5.496424,63.05,48.56,2.75,4.69,-64.44,0,Normal
2024-01-01 00:36:00,CELL_007,48.785719,2.3976,35.58,35.87,14.34,0.01,-77.66,0,Normal
2024-01-01 00:37:00,CELL_006,48.953924,2.704216,19.55,40.63,15.02,3.62,-75.88,0,Normal
2024-01-01 00:38:00,CELL_030,43.698858,5.331539,34.47,55.21,21.49,3.6,-76.17,0,Normal
2024-01-01 00:39:00,CELL_025,49.095929,2.30605,186.38,43.8,10.56,2.6,-108.0,1,High Latency
2024-01-01 00:40:00,CELL_022,48.972013,2.837737,56.78,51.16,12.37,2.2,-78.3,0,Normal
2024-01-01 00:41:00,CELL_035,43.585139,5.602243,12.99,49.08,7.14,0.0,-69.78,0,Normal
2024-01-01 00:42:00,CELL_025,49.10044,2.306293,48.77,55.69,20.98,0.0,-69.84,0,Normal
2024-01-01 00:43:00,CELL_026,43.298709,5.329799,38.08,44.58,9.02,0.47,-65.5,0,Normal
2024-01-01 00:44:00,CELL_048,43.876647,5.727422,72.11,63.23,23.59,0.22,-81.85,0,Normal
2024-01-01 00:45:00,CELL_003,48.682092,2.926189,42.74,21.5,9.57,0.85,-83.45,0,Normal
2024-01-01 00:46:00,CELL_041,43.93669,5.37684,58.12,43.21,15.03,6.19,-85.27,0,Normal
2024-01-01 00:47:00,CELL_008,49.044707,2.147416,45.45,45.54,8.27,24.29,-68.06,1,Call Drops
2024-01-01 00:48:00,CELL_026,43.290862,5.323054,71.68,49.37,6.46,0.0,-56.72,0,Normal
2024-01-01 00:49:00,CELL_047,43.764236,5.262277,31.32,57.0,11.31,2.5,-71.4,0,Normal
2024-01-01 00:50:00,CELL_039,43.787453,5.742572,39.92,49.66,7.67,0.78,-69.39,0,Normal
2024-01-01 00:51:00,CELL_005,49.443598,2.872921,80.45,45.99,25.74,0.0,-63.67,0,Normal
2024-01-01 00:52:00,CELL_014,49.491208,2.180514,31.64,56.85,19.74,2.62,-80.56,0,Normal
2024-01-01 00:53:00,CELL_035,43.580785,5.608962,25.64,37.04,18.38,0.0,-68.68,0,Normal
2024-01-01 00:54:00,CELL_029,43.939404,5.458782,63.0,36.91,21.26,2.92,-76.84,0,Normal
2024-01-01 00:55:00,CELL_040,43.527168,5.226776,62.1,79.34,15.1,0.78,-66.89,0,Normal
2024-01-01 00:56:00,CELL_046,43.256922,5.716247,37.73,48.33,17.87,0.0,-67.46,0,Normal
2024-01-01 00:57:00,CELL_036,43.935126,5.234534,69.69,44.41,10.42,10.64,-72.08,1,Call Drops
2024-01-01 00:58:00,CELL_025,49.093908,2.316597,53.27,51.8,23.86,0.0,-84.36,0,Normal
2024-01-01 00:59:00,CELL_040,43.523409,5.226187,37.72,44.19,10.46,0.97,-71.64,0,Normal
2024-01-01 01:00:00,CELL_024,49.176098,2.940184,36.16,50.19,4.57,0.0,-69.22,0,Normal
